client_id,client_name,region,contract_type,consumption_kwh,billing_date,co2_emissions,cost_per_kwh,total_cost,renewable_energy_percentage,estacion,consumption_outlier,co2_emissions_outlier,cost_per_kwh_outlier,total_cost_outlier,renewable_energy_percentage_outlier,meses
32,johnson-hahn,norte,comercial,7955.0,2024-05-08,110.9,0.15,1193.25,37.0,Primavera,False,False,False,False,False,5
33,martin plc,sur,residencial,5736.0,2024-06-12,56.39,0.24,1376.64,27.0,Verano,False,False,False,False,False,6
34,"beard, king and odom",sur,comercial,9133.0,2024-07-04,1923.93,0.22,2009.26,49.0,Verano,False,False,False,False,False,7
35,wright-velasquez,norte,residencial,2478.0,2024-10-04,1704.32,0.12,297.36,95.0,Otoño,False,False,False,False,False,10
36,"peters, ortiz and murray",este,residencial,8274.0,2024-07-21,1423.19,0.16,1323.84,67.0,Verano,False,False,False,False,False,7
37,andersen-smith,sur,comercial,6038.0,2024-08-03,1311.83,0.13,784.94,19.0,Verano,False,False,False,False,False,8
38,dalton-ross,norte,residencial,3083.0,2024-06-03,876.44,0.2,616.6,61.0,Verano,False,False,False,False,False,6
39,coleman plc,oeste,comercial,5223.0,2024-09-05,1385.88,0.18,940.14,31.0,Otoño,False,False,False,False,False,9
40,"mckee, roberson and wagner",norte,residencial,7704.0,2024-09-27,786.29,0.1,770.4000000000001,48.0,Otoño,False,False,False,False,False,9
41,dougherty group,centro,comercial,4192.0,2024-03-10,1130.34,0.11,461.12,86.0,Primavera,False,False,False,False,False,3
42,"sandoval, hampton and ward",norte,comercial,7827.0,2024-08-13,1505.63,0.14,1095.7800000000002,62.0,Verano,False,False,False,False,False,8
43,watkins ltd,sur,comercial,9268.0,2024-04-09,1292.14,0.17,1575.5600000000002,17.0,Primavera,False,False,False,False,False,4
44,russell-raymond,oeste,comercial,8004.0,2024-01-29,898.65,0.19,1520.76,69.0,Invierno,False,False,False,False,False,1
45,garcia-williams,centro,residencial,1487.0,2024-11-07,645.2,0.24,356.88,68.0,Otoño,False,False,False,False,False,11
46,smith-white,centro,residencial,5380.0,2024-08-27,997.3,0.22,1183.6,90.0,Verano,False,False,False,False,False,8
47,"gutierrez, smith and chen",norte,comercial,6773.0,2024-10-02,574.69,0.22,1490.06,71.0,Otoño,False,False,False,False,False,10
48,"phillips, smith and huffman",oeste,comercial,972.0,2024-04-20,476.77,0.11,106.92,41.0,Primavera,False,False,False,False,False,4
49,"carter, jordan and perez",sur,comercial,8196.0,2024-02-04,1911.58,0.2,1639.2,84.0,Invierno,False,False,False,False,False,2
50,clark plc,norte,residencial,544.0,2024-05-07,1166.16,0.18,97.92,84.0,Primavera,False,False,False,False,False,5
51,wood-smith,norte,residencial,9144.0,2024-05-10,353.97,0.22,2011.68,45.0,Primavera,False,False,False,False,False,5
52,"morris, fritz and hughes",sur,comercial,6398.0,2024-05-07,787.26,0.19,1215.62,5.0,Primavera,False,False,False,False,False,5
53,"martin, martin and hardy",centro,residencial,1058.0,2024-02-28,1746.22,0.24,253.92,32.0,Invierno,False,False,False,False,False,2
54,arnold ltd,norte,comercial,4676.0,2024-09-13,1838.71,0.24,1122.24,84.0,Otoño,False,False,False,False,False,9
55,davis-clark,norte,comercial,7473.0,2024-01-31,145.12,0.18,1345.14,23.0,Invierno,False,False,False,False,False,1
56,"reid, powell and buck",este,comercial,1556.0,2024-07-16,682.07,0.11,171.16,42.0,Verano,False,False,False,False,False,7
57,jones-young,este,comercial,7141.0,2024-06-11,1550.19,0.18,1285.38,45.0,Verano,False,False,False,False,False,6
58,martin inc,norte,comercial,3807.0,2024-09-05,1914.8,0.18,685.26,44.0,Otoño,False,False,False,False,False,9
59,smith-jordan,oeste,comercial,7197.0,2024-11-03,1925.87,0.17,1223.49,75.0,Otoño,False,False,False,False,False,11
60,obrien-sellers,norte,comercial,5620.0,2024-08-25,279.36,0.24,1348.8,61.0,Verano,False,False,False,False,False,8
61,williams plc,sur,residencial,6264.0,2024-02-18,673.31,0.14,876.96,40.0,Invierno,False,False,False,False,False,2
62,brown-franklin,oeste,comercial,9777.0,2024-10-15,1950.84,0.11,1075.47,41.0,Otoño,False,False,False,False,False,10
63,"warren, hicks and huerta",centro,comercial,3145.0,2024-11-08,1485.81,0.18,566.1,3.0,Otoño,False,False,False,False,False,11
64,"davis, oconnor and wilson",norte,comercial,3909.0,2024-03-19,665.86,0.19,742.71,9.0,Primavera,False,False,False,False,False,3
65,"deleon, perez and hardy",norte,comercial,3070.0,2024-08-11,923.8,0.25,767.5,83.0,Verano,False,False,False,False,False,8
66,"mcdowell, rice and bauer",norte,residencial,5145.0,2024-01-09,973.07,0.22,1131.9,38.0,Invierno,False,False,False,False,False,1
67,oconnor inc,sur,comercial,5867.0,2024-08-13,940.39,0.2,1173.4,49.0,Verano,False,False,False,False,False,8
68,gilmore-thompson,centro,comercial,9457.0,2024-10-09,345.37,0.1,945.7,40.0,Otoño,False,False,False,False,False,10
69,johnson ltd,este,residencial,5189.0,2024-03-28,1333.87,0.19,985.91,59.0,Primavera,False,False,False,False,False,3
70,"camacho, page and curtis",oeste,residencial,257.0,2024-02-28,398.74,0.18,46.26,10.0,Invierno,False,False,False,False,False,2
71,"wolf, martinez and austin",sur,residencial,6715.0,2024-07-13,1610.4,0.21,1410.15,79.0,Verano,False,False,False,False,False,7
72,crawford group,oeste,residencial,6120.0,2024-08-02,1816.05,0.23,1407.6,55.0,Verano,False,False,False,False,False,8
73,sutton and sons,norte,comercial,5357.0,2024-01-20,504.24,0.18,964.26,34.0,Invierno,False,False,False,False,False,1
74,ford llc,norte,residencial,8819.0,2024-08-03,1504.66,0.24,2116.56,57.0,Verano,False,False,False,False,False,8
75,johnson-smith,este,comercial,4421.0,2024-05-23,942.1,0.15,663.15,33.0,Primavera,False,False,False,False,False,5
76,"berger, gaines and obrien",norte,comercial,1272.0,2024-02-27,416.53,0.17,216.24,60.0,Invierno,False,False,False,False,False,2
77,garcia-jones,centro,residencial,5090.0,2024-11-04,385.38,0.21,1068.9,7.0,Otoño,False,False,False,False,False,11
78,raymond-kane,este,residencial,5687.0,2024-10-15,482.67,0.13,739.3100000000001,75.0,Otoño,False,False,False,False,False,10
79,"schneider, davis and brown",norte,comercial,396.0,2024-06-01,724.28,0.12,47.52,32.0,Verano,False,False,False,False,False,6
80,coleman and sons,oeste,comercial,7450.0,2024-10-29,1418.8,0.1,745.0,29.0,Otoño,False,False,False,False,False,10
81,bass plc,este,comercial,3245.0,2024-08-16,502.06,0.11,356.95,93.0,Verano,False,False,False,False,False,8
82,"lam, martinez and jones",este,comercial,3939.0,2024-06-29,553.98,0.24,945.36,30.0,Verano,False,False,False,False,False,6
83,quinn inc,este,residencial,7240.0,2024-02-01,1658.22,0.14,1013.6,17.0,Invierno,False,False,False,False,False,2
84,"taylor, roberts and lopez",centro,residencial,6480.0,2024-06-01,1388.47,0.25,1620.0,41.0,Verano,False,False,False,False,False,6
85,sparks plc,sur,residencial,2069.0,2024-06-29,1790.14,0.13,268.97,22.0,Verano,False,False,False,False,False,6
86,bell-berg,este,residencial,1148.0,2024-02-05,252.3,0.17,195.16000000000005,12.0,Invierno,False,False,False,False,False,2
87,rodgers-clements,centro,comercial,4905.0,2024-03-12,1738.54,0.15,735.75,7.0,Primavera,False,False,False,False,False,3
88,"wilson, gardner and randall",norte,comercial,4887.0,2024-02-10,1160.41,0.18,879.66,25.0,Invierno,False,False,False,False,False,2
89,grant-dawson,centro,residencial,322.0,2024-08-23,1099.64,0.11,35.42,20.0,Verano,False,False,False,False,False,8
90,"mack, copeland and dominguez",sur,residencial,8798.0,2024-10-28,1458.59,0.2,1759.6,51.0,Otoño,False,False,False,False,False,10
91,"gilbert, garcia and grant",sur,comercial,8381.0,2024-09-03,1889.53,0.22,1843.82,47.0,Otoño,False,False,False,False,False,9
92,"thomas, kirk and ibarra",centro,residencial,7334.0,2024-07-16,270.28,0.13,953.42,41.0,Verano,False,False,False,False,False,7
93,castro-blackwell,sur,residencial,4007.0,2024-05-03,1770.74,0.13,520.91,70.0,Primavera,False,False,False,False,False,5
94,walsh ltd,oeste,residencial,6626.0,2024-09-07,1359.17,0.22,1457.72,3.0,Otoño,False,False,False,False,False,9
95,"wilson, robertson and burns",centro,comercial,9299.0,2024-10-10,249.95,0.16,1487.84,11.0,Otoño,False,False,False,False,False,10
96,harris group,oeste,comercial,5815.0,2024-02-05,563.2,0.25,1453.75,53.0,Invierno,False,False,False,False,False,2
97,"mills, garcia and lee",norte,comercial,4192.0,2024-09-21,1795.08,0.2,838.4000000000001,61.0,Otoño,False,False,False,False,False,9
98,"rodriguez, washington and martin",sur,residencial,7802.0,2024-01-12,478.39,0.15,1170.3,19.0,Invierno,False,False,False,False,False,1
99,"dunn, torres and bates",norte,residencial,3129.0,2024-02-01,1379.89,0.21,657.09,33.0,Invierno,False,False,False,False,False,2
100,martinez group,norte,residencial,3371.0,2024-10-26,841.78,0.11,370.81,50.0,Otoño,False,False,False,False,False,10
101,hoffman llc,sur,comercial,1904.0,2024-07-08,546.21,0.17,323.68,35.0,Verano,False,False,False,False,False,7
102,"farmer, anderson and curtis",centro,comercial,1067.0,2024-06-01,605.96,0.2,213.4,6.0,Verano,False,False,False,False,False,6
103,maldonado group,norte,comercial,4326.0,2024-02-01,1856.32,0.17,735.4200000000001,2.0,Invierno,False,False,False,False,False,2
104,schultz-allen,centro,residencial,5167.0,2024-10-16,1895.13,0.16,826.72,71.0,Otoño,False,False,False,False,False,10
105,green group,sur,comercial,7862.0,2024-01-13,812.06,0.25,1965.5,73.0,Invierno,False,False,False,False,False,1
106,bennett-smith,centro,comercial,7651.0,2024-02-07,1048.09,0.17,1300.67,1.0,Invierno,False,False,False,False,False,2
107,miller llc,sur,residencial,260.0,2024-06-05,1059.12,0.15,39.0,62.0,Verano,False,False,False,False,False,6
108,moore inc,oeste,residencial,4535.0,2024-03-07,1093.7,0.17,770.95,44.0,Primavera,False,False,False,False,False,3
109,stone-kennedy,sur,comercial,5905.0,2024-04-24,1074.08,0.13,767.65,67.0,Primavera,False,False,False,False,False,4
110,"payne, barber and cameron",este,residencial,8585.0,2024-06-27,57.69,0.16,1373.6,69.0,Verano,False,False,False,False,False,6
111,vargas plc,este,residencial,5690.0,2024-10-03,781.26,0.11,625.9,27.0,Otoño,False,False,False,False,False,10
112,burke and sons,norte,comercial,1647.0,2024-01-30,284.45,0.23,378.81,22.0,Invierno,False,False,False,False,False,1
113,beasley llc,oeste,residencial,8548.0,2024-04-04,1234.89,0.13,1111.24,76.0,Primavera,False,False,False,False,False,4
114,zhang-jenkins,centro,comercial,3244.0,2024-02-21,182.53,0.24,778.56,37.0,Invierno,False,False,False,False,False,2
115,jones llc,centro,residencial,5322.0,2024-08-15,958.8,0.19,1011.18,24.0,Verano,False,False,False,False,False,8
116,"snow, ramirez and allen",sur,residencial,7437.0,2024-05-27,1056.1,0.11,818.07,88.0,Primavera,False,False,False,False,False,5
117,coleman inc,centro,residencial,4788.0,2024-03-21,1408.3,0.19,909.72,61.0,Primavera,False,False,False,False,False,3
118,"ellis, wilcox and rodriguez",este,residencial,6879.0,2024-01-29,571.82,0.23,1582.17,82.0,Invierno,False,False,False,False,False,1
119,rodriguez inc,este,residencial,4885.0,2024-01-11,589.5,0.11,537.35,18.0,Invierno,False,False,False,False,False,1
120,"bailey, lewis and thomas",norte,comercial,3458.0,2024-02-02,1323.71,0.24,829.92,12.0,Invierno,False,False,False,False,False,2
121,"fischer, meyers and herrera",sur,comercial,7496.0,2024-01-21,1541.48,0.13,974.48,27.0,Invierno,False,False,False,False,False,1
122,jordan inc,centro,comercial,1689.0,2024-01-06,84.47,0.17,287.13,8.0,Invierno,False,False,False,False,False,1
123,clark-pena,oeste,residencial,9384.0,2024-09-22,723.74,0.11,1032.24,60.0,Otoño,False,False,False,False,False,9
124,sanchez-lopez,este,comercial,1290.0,2024-03-05,307.95,0.16,206.4,58.0,Primavera,False,False,False,False,False,3
125,"stafford, sampson and martin",este,residencial,8680.0,2024-01-27,998.39,0.21,1822.8,76.0,Invierno,False,False,False,False,False,1
126,king-horn,este,residencial,6692.0,2024-07-07,677.72,0.24,1606.08,97.0,Verano,False,False,False,False,False,7
127,hernandez and sons,oeste,comercial,5822.0,2024-07-31,1402.6,0.19,1106.18,11.0,Verano,False,False,False,False,False,7
128,williams inc,oeste,comercial,5008.0,2024-06-09,928.56,0.24,1201.9199999999998,74.0,Verano,False,False,False,False,False,6
129,"collins, white and pierce",oeste,comercial,8481.0,2024-11-01,1953.7,0.2,1696.2,56.0,Otoño,False,False,False,False,False,11
130,harris-good,este,comercial,1457.0,2024-07-22,652.72,0.12,174.84,83.0,Verano,False,False,False,False,False,7
131,"moreno, adams and schneider",este,residencial,4894.0,2024-11-03,681.73,0.23,1125.62,45.0,Otoño,False,False,False,False,False,11
132,"rodriguez, johnson and clark",este,residencial,2033.0,2024-03-01,1657.23,0.12,243.96,37.0,Primavera,False,False,False,False,False,3
133,"myers, dominguez and valdez",este,comercial,9479.0,2024-10-19,1834.78,0.11,1042.69,20.0,Otoño,False,False,False,False,False,10
134,johnson llc,oeste,residencial,7381.0,2024-09-09,467.71,0.12,885.7199999999999,31.0,Otoño,False,False,False,False,False,9
135,martinez plc,sur,residencial,1215.0,2024-06-19,224.84,0.13,157.95000000000002,33.0,Verano,False,False,False,False,False,6
136,soto group,oeste,comercial,3819.0,2024-01-26,1379.35,0.15,572.85,99.0,Invierno,False,False,False,False,False,1
137,gutierrez and sons,centro,residencial,7695.0,2024-03-21,326.98,0.11,846.45,93.0,Primavera,False,False,False,False,False,3
138,barrett-frye,este,residencial,2210.0,2024-09-13,1975.78,0.21,464.1,23.0,Otoño,False,False,False,False,False,9
139,brown-higgins,oeste,comercial,932.0,2024-07-09,813.11,0.24,223.68,98.0,Verano,False,False,False,False,False,7
140,bautista-mcdowell,centro,comercial,5560.0,2024-07-31,783.41,0.18,1000.8,82.0,Verano,False,False,False,False,False,7
141,olsen-williams,este,comercial,1205.0,2024-08-05,1123.45,0.16,192.8,72.0,Verano,False,False,False,False,False,8
142,paul-hayes,oeste,residencial,8331.0,2024-02-06,1068.14,0.18,1499.58,11.0,Invierno,False,False,False,False,False,2
143,horn-harrell,norte,residencial,9494.0,2024-06-19,1213.44,0.18,1708.9199999999998,33.0,Verano,False,False,False,False,False,6
144,jennings-montgomery,centro,residencial,5435.0,2024-09-30,635.7,0.22,1195.7,4.0,Otoño,False,False,False,False,False,9
145,peck inc,oeste,residencial,1550.0,2024-06-10,174.81,0.14,217.00000000000003,95.0,Verano,False,False,False,False,False,6
146,sampson-austin,centro,comercial,967.0,2024-08-30,675.94,0.11,106.37,68.0,Verano,False,False,False,False,False,8
147,williams group,centro,comercial,597.0,2024-09-10,648.16,0.13,77.61,59.0,Otoño,False,False,False,False,False,9
148,allen llc,centro,comercial,3591.0,2024-11-07,231.45,0.11,395.01,84.0,Otoño,False,False,False,False,False,11
149,zamora llc,centro,comercial,9227.0,2024-09-15,394.38,0.25,2306.75,76.0,Otoño,False,False,False,False,False,9
150,jones plc,norte,comercial,4895.0,2024-09-14,425.09,0.16,783.2,47.0,Otoño,False,False,False,False,False,9
151,"howell, valdez and wells",norte,comercial,8223.0,2024-04-26,368.23,0.2,1644.6,87.0,Primavera,False,False,False,False,False,4
152,espinoza llc,oeste,comercial,1669.0,2024-05-11,1846.63,0.21,350.49,29.0,Primavera,False,False,False,False,False,5
153,wilson-christian,norte,residencial,5699.0,2024-10-04,946.02,0.22,1253.78,62.0,Otoño,False,False,False,False,False,10
154,perkins ltd,centro,comercial,2551.0,2024-07-31,1680.99,0.14,357.14000000000004,78.0,Verano,False,False,False,False,False,7
155,duncan llc,este,comercial,7906.0,2024-02-24,1007.82,0.25,1976.5,94.0,Invierno,False,False,False,False,False,2
156,chandler inc,sur,residencial,1416.0,2024-09-06,56.71,0.13,184.08,8.0,Otoño,False,False,False,False,False,9
157,thompson-villanueva,norte,residencial,6345.0,2024-09-23,949.67,0.11,697.95,18.0,Otoño,False,False,False,False,False,9
158,garza plc,centro,residencial,3654.0,2024-10-02,342.94,0.22,803.88,27.0,Otoño,False,False,False,False,False,10
159,harrell-floyd,centro,residencial,7880.0,2024-03-16,1775.34,0.22,1733.6,4.0,Primavera,False,False,False,False,False,3
160,reynolds ltd,sur,comercial,8868.0,2024-09-07,85.56,0.13,1152.84,78.0,Otoño,False,False,False,False,False,9
161,harrington plc,oeste,comercial,5804.0,2024-09-13,1436.88,0.25,1451.0,41.0,Otoño,False,False,False,False,False,9
162,"weaver, drake and bennett",sur,comercial,8878.0,2024-07-07,613.39,0.1,887.8000000000001,37.0,Verano,False,False,False,False,False,7
163,"ortiz, gonzalez and morales",oeste,comercial,6774.0,2024-11-08,415.41,0.18,1219.32,18.0,Otoño,False,False,False,False,False,11
164,"molina, watkins and cook",centro,comercial,3780.0,2024-08-15,154.74,0.15,567.0,76.0,Verano,False,False,False,False,False,8
165,"romero, lewis and webster",centro,comercial,2933.0,2024-01-18,647.53,0.22,645.26,27.0,Invierno,False,False,False,False,False,1
166,mcmillan-perry,este,comercial,6521.0,2024-03-01,1561.04,0.12,782.52,0.0,Primavera,False,False,False,False,False,3
167,"mcfarland, cole and robinson",norte,residencial,6879.0,2024-03-23,387.08,0.23,1582.17,26.0,Primavera,False,False,False,False,False,3
168,johnson-herman,norte,residencial,3956.0,2024-10-10,495.83,0.19,751.64,41.0,Otoño,False,False,False,False,False,10
169,"garrett, hale and kennedy",oeste,residencial,5524.0,2024-10-06,1442.2,0.13,718.12,90.0,Otoño,False,False,False,False,False,10
170,love llc,centro,residencial,1449.0,2024-06-09,1758.58,0.21,304.29,23.0,Verano,False,False,False,False,False,6
171,"whitney, chambers and browning",centro,residencial,2703.0,2024-05-18,669.7,0.15,405.45,39.0,Primavera,False,False,False,False,False,5
172,ball-martinez,norte,residencial,5057.0,2024-04-01,1530.55,0.22,1112.54,42.0,Primavera,False,False,False,False,False,4
173,hanson-george,centro,comercial,3090.0,2024-08-13,1551.45,0.11,339.9,98.0,Verano,False,False,False,False,False,8
174,"torres, bird and thomas",este,comercial,9515.0,2024-02-29,1500.72,0.13,1236.95,62.0,Invierno,False,False,False,False,False,2
175,black group,oeste,residencial,5532.0,2024-02-14,1140.05,0.21,1161.72,11.0,Invierno,False,False,False,False,False,2
176,"howell, garza and smith",este,comercial,3980.0,2024-05-06,417.47,0.14,557.2,3.0,Primavera,False,False,False,False,False,5
177,vazquez-banks,este,residencial,9949.0,2024-03-14,1730.5,0.14,1392.86,20.0,Primavera,False,False,False,False,False,3
178,"martin, wallace and jefferson",norte,residencial,2570.0,2024-01-12,1279.7,0.18,462.6,30.0,Invierno,False,False,False,False,False,1
179,"price, west and alvarez",norte,residencial,8868.0,2024-11-07,1249.5,0.18,1596.24,35.0,Otoño,False,False,False,False,False,11
180,"rodriguez, hamilton and henry",centro,residencial,9232.0,2024-06-24,1003.09,0.23,2123.36,46.0,Verano,False,False,False,False,False,6
181,gonzalez group,oeste,residencial,6234.0,2024-02-23,495.33,0.2,1246.8000000000002,17.0,Invierno,False,False,False,False,False,2
182,simon ltd,sur,residencial,4978.0,2024-09-12,1458.23,0.24,1194.72,21.0,Otoño,False,False,False,False,False,9
183,jordan and sons,oeste,comercial,9343.0,2024-01-08,344.23,0.13,1214.59,72.0,Invierno,False,False,False,False,False,1
184,banks-davis,este,residencial,5943.0,2024-01-08,1693.65,0.12,713.16,21.0,Invierno,False,False,False,False,False,1
185,burke-bailey,este,comercial,6514.0,2024-07-07,1698.11,0.12,781.68,71.0,Verano,False,False,False,False,False,7
186,gardner ltd,centro,residencial,7533.0,2024-01-06,1768.66,0.18,1355.94,52.0,Invierno,False,False,False,False,False,1
187,burch-elliott,sur,comercial,3049.0,2024-05-19,1369.36,0.18,548.8199999999999,78.0,Primavera,False,False,False,False,False,5
188,graham-french,oeste,comercial,2264.0,2024-05-10,832.95,0.22,498.08,64.0,Primavera,False,False,False,False,False,5
189,hayes-jordan,sur,comercial,3819.0,2024-02-25,1224.56,0.19,725.61,87.0,Invierno,False,False,False,False,False,2
190,brown-allison,sur,comercial,4264.0,2024-10-19,645.56,0.2,852.8000000000001,30.0,Otoño,False,False,False,False,False,10
191,"reid, jones and mooney",este,comercial,4245.0,2024-04-11,1206.17,0.19,806.55,67.0,Primavera,False,False,False,False,False,4
192,todd inc,sur,residencial,3578.0,2024-08-29,92.54,0.1,357.8,6.0,Verano,False,False,False,False,False,8
193,clark-carlson,centro,comercial,835.0,2024-05-24,1918.71,0.1,83.5,46.0,Primavera,False,False,False,False,False,5
194,"morris, zuniga and smith",oeste,residencial,6694.0,2024-05-21,961.69,0.12,803.28,28.0,Primavera,False,False,False,False,False,5
195,cole ltd,sur,comercial,8522.0,2024-07-23,172.27,0.13,1107.86,97.0,Verano,False,False,False,False,False,7
196,jacobs plc,este,comercial,8952.0,2024-03-06,1499.08,0.25,2238.0,81.0,Primavera,False,False,False,False,False,3
197,"meyer, hill and west",este,residencial,2405.0,2024-09-18,1354.31,0.1,240.5,97.0,Otoño,False,False,False,False,False,9
198,murray ltd,sur,comercial,1564.0,2024-09-24,490.26,0.14,218.96,70.0,Otoño,False,False,False,False,False,9
199,brown inc,centro,residencial,3194.0,2024-07-13,1177.4,0.11,351.34,64.0,Verano,False,False,False,False,False,7
200,"freeman, porter and silva",oeste,comercial,9104.0,2024-03-22,220.52,0.14,1274.5600000000002,2.0,Primavera,False,False,False,False,False,3
201,obrien plc,oeste,residencial,891.0,2024-09-30,1711.6,0.17,151.47,33.0,Otoño,False,False,False,False,False,9
202,"lutz, sandoval and bird",norte,residencial,7059.0,2024-03-14,728.06,0.17,1200.03,2.0,Primavera,False,False,False,False,False,3
203,"pope, evans and abbott",centro,comercial,5013.0,2024-08-01,508.02,0.19,952.47,3.0,Verano,False,False,False,False,False,8
204,"barnes, foley and thornton",sur,residencial,912.0,2024-05-07,1086.04,0.11,100.32,24.0,Primavera,False,False,False,False,False,5
205,mckenzie-george,este,comercial,8465.0,2024-01-14,1696.17,0.19,1608.35,98.0,Invierno,False,False,False,False,False,1
206,hopkins-rodriguez,sur,residencial,8166.0,2024-01-03,1145.5,0.14,1143.24,10.0,Invierno,False,False,False,False,False,1
207,howe-joseph,este,comercial,2650.0,2024-01-04,1098.4,0.19,503.5,1.0,Invierno,False,False,False,False,False,1
208,"erickson, gordon and morrison",centro,comercial,9784.0,2024-01-23,1660.65,0.2,1956.8,29.0,Invierno,False,False,False,False,False,1
209,carter-smith,sur,residencial,4454.0,2024-02-08,245.52,0.22,979.88,90.0,Invierno,False,False,False,False,False,2
210,cook-mullins,centro,comercial,1246.0,2024-02-04,139.5,0.19,236.74,37.0,Invierno,False,False,False,False,False,2
211,hess group,norte,residencial,1705.0,2024-08-23,759.73,0.1,170.5,50.0,Verano,False,False,False,False,False,8
212,"whitney, pugh and hurst",centro,comercial,6693.0,2024-05-02,690.93,0.23,1539.39,90.0,Primavera,False,False,False,False,False,5
213,valencia-payne,centro,comercial,2125.0,2024-06-12,1071.2,0.15,318.75,8.0,Verano,False,False,False,False,False,6
214,"green, bailey and pennington",norte,residencial,6397.0,2024-07-18,57.9,0.16,1023.52,63.0,Verano,False,False,False,False,False,7
215,"phillips, roberts and taylor",centro,comercial,3316.0,2024-01-19,1151.56,0.16,530.5600000000001,44.0,Invierno,False,False,False,False,False,1
216,brown and sons,oeste,residencial,9829.0,2024-07-11,373.11,0.21,2064.09,96.0,Verano,False,False,False,False,False,7
